"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5011","Modifier une categorie socio_prifessionnelle","chromium","Mon Mar 03 09:10:49 UTC 2025","passed","Mon Mar 03 09:10:54 UTC 2025","TestSuite Organisation","ExecutionTest.spec.ts","",""
"","7894","Ajouter une categorie socio_prifessionnelle","firefox","Mon Mar 03 09:11:57 UTC 2025","passed","Mon Mar 03 09:12:05 UTC 2025","TestSuite Organisation","ExecutionTest.spec.ts","",""
"","2033","has title","webkit","Mon Mar 03 09:12:34 UTC 2025","passed","Mon Mar 03 09:12:36 UTC 2025","","example.spec.ts","",""
"","6417","Modifier le pourcentage Maximum de demande","firefox","Mon Mar 03 09:12:17 UTC 2025","passed","Mon Mar 03 09:12:23 UTC 2025","TestSuite Organisation","ExecutionTest.spec.ts","",""
"","2858","Visualiser les paramètres de la page Activité","webkit","Mon Mar 03 09:13:50 UTC 2025","passed","Mon Mar 03 09:13:53 UTC 2025","TestSuite Activité","ExecutionTest.spec.ts","",""
"","6008","Suspendre collaborateur","firefox","Mon Mar 03 09:11:29 UTC 2025","passed","Mon Mar 03 09:11:35 UTC 2025","TestSuite Collaborateurs","ExecutionTest.spec.ts","",""
"","6178","details collaborateur","webkit","Mon Mar 03 09:12:56 UTC 2025","passed","Mon Mar 03 09:13:02 UTC 2025","TestSuite Collaborateurs","ExecutionTest.spec.ts","",""
"","1126","has title","firefox","Mon Mar 03 09:11:14 UTC 2025","passed","Mon Mar 03 09:11:16 UTC 2025","","example.spec.ts","",""
"","646","get started link","firefox","Mon Mar 03 09:11:16 UTC 2025","passed","Mon Mar 03 09:11:17 UTC 2025","","example.spec.ts","",""
"","5977","Suspendre collaborateur","webkit","Mon Mar 03 09:12:50 UTC 2025","passed","Mon Mar 03 09:12:56 UTC 2025","TestSuite Collaborateurs","ExecutionTest.spec.ts","",""
"","3410","Valider une demande d'urgence","chromium","Mon Mar 03 09:10:37 UTC 2025","passed","Mon Mar 03 09:10:40 UTC 2025","TestSuite Demande","ExecutionTest.spec.ts","",""
"","2005","Visualiser les différets types demandes","chromium","Mon Mar 03 09:10:35 UTC 2025","passed","Mon Mar 03 09:10:37 UTC 2025","TestSuite Demande","ExecutionTest.spec.ts","",""
"","6605","Rechercher sur la table Activité","webkit","Mon Mar 03 09:13:53 UTC 2025","passed","Mon Mar 03 09:13:59 UTC 2025","TestSuite Activité","ExecutionTest.spec.ts","",""
"","6842","Rechercher sur la table Activité","chromium","Mon Mar 03 09:11:07 UTC 2025","passed","Mon Mar 03 09:11:14 UTC 2025","TestSuite Activité","ExecutionTest.spec.ts","",""
"","2883","Visualiser les différets types demandes","webkit","Mon Mar 03 09:13:13 UTC 2025","passed","Mon Mar 03 09:13:16 UTC 2025","TestSuite Demande","ExecutionTest.spec.ts","",""
"","2983","Importer ou Telecharger collaborateurs","webkit","Mon Mar 03 09:13:02 UTC 2025","passed","Mon Mar 03 09:13:05 UTC 2025","TestSuite Collaborateurs","ExecutionTest.spec.ts","",""
"","7392","Rechercher collaborateur","firefox","Mon Mar 03 09:11:43 UTC 2025","passed","Mon Mar 03 09:11:51 UTC 2025","TestSuite Collaborateurs","ExecutionTest.spec.ts","",""
"","2619","Importer ou Telecharger collaborateurs","firefox","Mon Mar 03 09:11:41 UTC 2025","passed","Mon Mar 03 09:11:43 UTC 2025","TestSuite Collaborateurs","ExecutionTest.spec.ts","",""
"","5624","Modifier une categorie socio_prifessionnelle","firefox","Mon Mar 03 09:12:05 UTC 2025","passed","Mon Mar 03 09:12:10 UTC 2025","TestSuite Organisation","ExecutionTest.spec.ts","",""
"","6265","Modifier collaborateur","firefox","Mon Mar 03 09:11:22 UTC 2025","passed","Mon Mar 03 09:11:29 UTC 2025","TestSuite Collaborateurs","ExecutionTest.spec.ts","",""
